BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
441,-4.654684112,0.064039328,0.9426385,27.7,117.03978
442,-3.659238575,0.069432771,0.94153374,28,119.172493
443,-6.876423958,0.057658341,1.0814761,30.2,104.550377
444,-5.550648032,0.054891481,0.9715416,27.2,105.50029
445,-3.166653556,0.078444025,0.90444666,25.4,113.957085
446,-6.309023295,0.047485938,0.9198992,26.5,112.133728
447,-3.852029599,0.063463894,0.94723666,29.6,110.610474
448,-3.853879896,0.073040752,0.93166375,27.1,107.806343
449,-10.54503791,0.044730333,1.0116885,26.1,102.352745
450,-3.745043655,0.057196408,1.0501617,28.5,105.943291
451,-0.250827718,0.5101646,0.83748955,21.1,108.005684
452,-0.315680227,0.535939274,0.8737395,22.7,112.566017
453,-5.279201097,0.061466546,0.9652243,27,108.27726
454,-0.35480478,0.553015005,0.9067472,23.1,105.494919
455,-3.529832661,0.066560367,0.89314663,24.2,106.757553
456,-1.846024807,0.065902395,0.9352727,28.3,108.62841
457,-4.75553628,0.057853536,0.9788649,27.6,107.23233
458,-3.655913936,0.064991878,0.90888,26.4,107.318016
459,-7.878093921,0.051837746,0.9974473,26.8,108.927383
460,-12.36075074,0.042499639,1.1126313,33.9,100
